,BG_mu_critical,BG_avg_clustering_coef,BG_avg_shortest_path_len,BG_No_of_communities,BG_modularity,BG_num_loops,BG_avg_cycle_len,BG_loops_per_edge,BG_Omega
63,0.25,0.3285714285714286,2.131868131868132,3.0,0.22900390625,7.0,4.857142857142857,0.002403846153846154,0.21228162940152628
64,0.259,0.33746031746031746,1.7142857142857142,4.0,0.21874999999999997,19.0,5.421052631578948,0.004323094425483504,0.39335078643578647
65,0.259,0.3595238095238095,2.1758241758241756,3.0,0.27315296566076996,10.0,5.1,0.0027107617240444567,0.13964731601731617
66,0.247,0.4076923076923077,2.141025641025641,3.0,0.2626886145404664,9.0,4.222222222222222,0.002253944402704733,0.06496233658557027
67,0.254,0.3357142857142857,1.4175824175824177,3.0,0.21175858480749216,3.0,4.333333333333333,0.0007955449482895784,0.6072750407731804
68,0.262,0.26805555555555555,0.7954545454545454,3.0,0.16080000000000003,1.0,3.0,0.0003480682213713888,1.6826308340548344
69,0.236,0.3190476190476191,1.5,3.0,0.28180737217598106,12.0,4.833333333333333,0.0032318879612173446,0.5706734199134199
70,0.248,0.3784013605442177,3.0054945054945055,3.0,0.21900826446280997,24.0,5.375,0.0069767441860465115,-0.1136743567149312
71,0.251,0.4137152777777778,2.466666666666667,3.0,0.20791195716835215,188.0,8.75,0.05376036602802402,-0.052423109473109464
72,0.259,0.3928571428571429,2.9380952380952383,3.0,0.23718836565096948,109.0,8.376146788990825,0.026676456191874694,-0.12678263486918273
73,0.259,0.28928571428571426,1.7087912087912087,3.0,0.24611111111111106,4.0,4.0,0.001287415513356936,0.48417864283626366
74,0.24,0.39055555555555554,1.7904761904761906,3.0,0.31551020408163266,17.0,4.647058823529412,0.004683195592286501,0.2539665430904793
75,0.261,0.33154761904761904,2.4285714285714284,4.0,0.23055555555555557,49.0,7.081632653061225,0.016426416359369762,0.1079496765979121
76,0.249,0.2702380952380952,1.3461538461538463,3.0,0.28299643281807374,6.0,4.333333333333333,0.0013882461823229986,0.7909334372294372
77,0.26,0.22284580498866213,1.6263736263736264,3.0,0.2288941736028538,11.0,5.0,0.0024797114517583407,0.6561686469493613
78,0.25,0.38793650793650797,2.742857142857143,3.0,0.22826880934989047,67.0,6.940298507462686,0.015757290686735655,-0.07601723033910535
